billing_product_id,billing_account_id,asset_id,order_id,product_name,charge_type,charge_amount,last_billed_date,next_billing_date,status
BP00001,BACC00296,AST00937,ORD00937,SIP Trunk,Monthly,14.0,20/05/2026,19/06/2026,Active
BP00002,BACC00779,AST00145,ORD00145,FTTP Broadband,Quarterly,90.0,20/05/2026,19/06/2026,Active
BP00003,BACC00190,AST00860,ORD00860,FTTC Broadband,Annual,34.2,20/05/2026,18/08/2026,Active
BP00004,BACC00096,AST01016,ORD01016,FTTP Broadband,Quarterly,67.5,20/05/2026,20/06/2026,Active
BP00005,BACC00765,AST00381,ORD00381,SIP Trunk,Annual,17.5,20/05/2026,18/08/2026,Active
BP00006,BACC00246,AST01469,ORD01469,SIP Trunk,Monthly,21.0,20/05/2026,18/08/2026,Inactive
BP00007,BACC00633,AST00532,ORD00532,Cloud Voice,Monthly,19.0,20/05/2026,19/06/2026,Active
BP00008,BACC00123,AST00521,ORD00521,FTTC Broadband,Quarterly,76.0,20/05/2026,19/06/2026,Active
BP00009,BACC00938,AST01725,ORD01725,Cloud Voice,Quarterly,10.45,20/05/2026,19/06/2026,Active
BP00010,BACC00743,AST00958,ORD00958,SD-WAN,Quarterly,225.0,20/05/2026,18/08/2026,Active
BP00011,BACC00157,AST00506,ORD00506,SD-WAN,Annual,187.5,20/05/2026,19/06/2026,Active
BP00012,BACC00543,AST00512,ORD00512,SIP Trunk,Monthly,12.6,20/05/2026,20/06/2026,Active
BP00013,BACC00279,AST01047,ORD01047,PSTN Line,Annual,18.5,20/05/2026,19/06/2026,Active
BP00014,BACC00241,AST01792,ORD01792,SD-WAN,Annual,187.5,20/05/2026,20/06/2026,Active
BP00015,BACC00860,AST01654,ORD01654,PSTN Line,Monthly,23.12,20/05/2026,18/08/2026,Ceased
BP00016,BACC00321,AST00811,ORD00811,SD-WAN,Monthly,225.0,20/05/2026,18/08/2026,Active
BP00017,BACC00039,AST01685,ORD01685,Mobile Voice,Monthly,48.0,20/05/2026,19/06/2026,Active
BP00018,BACC00419,AST00499,ORD00499,FTTP Broadband,Quarterly,90.0,20/05/2026,20/06/2026,Active
BP00019,BACC00489,AST01076,ORD01076,SIP Trunk,Annual,21.0,20/05/2026,19/06/2026,Active
BP00020,BACC00248,AST01180,ORD01180,FTTC Broadband,Annual,57.0,20/05/2026,19/06/2026,Active
BP00021,BACC00784,AST00990,ORD00990,SD-WAN,Annual,150.0,20/05/2026,19/06/2026,Active
BP00022,BACC00002,AST01397,ORD01397,Ethernet Circuit,Monthly,220.0,20/05/2026,19/06/2026,Ceased
BP00023,BACC00489,AST00992,ORD00992,FTTC Broadband,Annual,57.0,20/05/2026,20/06/2026,Active
BP00024,BACC00191,AST01090,ORD01090,Mobile Voice,Annual,36.0,20/05/2026,20/06/2026,Active
BP00025,BACC00358,AST00722,ORD00722,SD-WAN,Annual,135.0,20/05/2026,18/08/2026,Active
BP00026,BACC00296,AST01222,ORD01222,FTTP Broadband,Monthly,90.0,20/05/2026,19/06/2026,Ceased
BP00027,BACC00562,AST01482,ORD01482,Ethernet Circuit,Quarterly,440.0,20/05/2026,18/08/2026,Active
BP00028,BACC00739,AST00573,ORD00573,Mobile Voice,Annual,24.0,20/05/2026,20/06/2026,Active
BP00029,BACC00478,AST00633,ORD00633,MPLS Circuit,Quarterly,225.0,20/05/2026,20/06/2026,Ceased
BP00030,BACC00978,AST00716,ORD00716,MPLS Circuit,Quarterly,360.0,20/05/2026,20/06/2026,Active
