account_id,account_name,account_type,region,created_date,status,contact_email,contact_phone
ACC00001,Orion Health 0001,Consumer,East,30/06/2025,Active,contact00001@exampletelco.co.uk,07125676184
ACC00002,Metro Retail 0002,SME,West,06/02/2023,Ceased,contact00002@exampletelco.co.uk,07256745809
ACC00003,Cedar Finance 0003,Retail,East,17/10/2025,Active,contact00003@exampletelco.co.uk,07246675961
ACC00004,Oak Health 0004,Public Sector,West,08/09/2024,Active,contact00004@exampletelco.co.uk,07322551713
ACC00005,Bluepeak Logistics 0005,SME,West,16/06/2025,Active,contact00005@exampletelco.co.uk,07385822874
ACC00006,Kaya Finance 0006,Wholesale,Scotland,10/10/2025,Active,contact00006@exampletelco.co.uk,07490286117
ACC00007,Horizon Logistics 0007,Consumer,London,27/06/2025,Inactive,contact00007@exampletelco.co.uk,07835489688
ACC00008,Metro Finance 0008,Retail,East,21/08/2025,Ceased,contact00008@exampletelco.co.uk,07112882608
ACC00009,Kaya Council 0009,Consumer,North,01/05/2023,Active,contact00009@exampletelco.co.uk,07865533365
ACC00010,Horizon Logistics 0010,Wholesale,North,03/01/2024,Active,contact00010@exampletelco.co.uk,07197879143
ACC00011,Kaya Telecom 0011,Wholesale,Wales,22/09/2025,Active,contact00011@exampletelco.co.uk,07128339260
ACC00012,Metro Health 0012,Wholesale,Wales,30/10/2025,Active,contact00012@exampletelco.co.uk,07823164488
ACC00013,Aster Health 0013,Retail,South,24/04/2023,Active,contact00013@exampletelco.co.uk,07850191842
ACC00014,Zenith Health 0014,Consumer,Scotland,04/06/2024,Inactive,contact00014@exampletelco.co.uk,07702919167
ACC00015,Horizon Finance 0015,Retail,Wales,08/04/2023,Active,contact00015@exampletelco.co.uk,07982530525
ACC00016,Aster Finance 0016,Retail,Wales,30/07/2024,Active,contact00016@exampletelco.co.uk,07812231167
ACC00017,Kaya Media 0017,Public Sector,North,18/11/2023,Active,contact00017@exampletelco.co.uk,07340004341
ACC00018,Cedar Telecom 0018,Consumer,Midlands,20/01/2025,Active,contact00018@exampletelco.co.uk,07835986408
ACC00019,Vista Health 0019,Enterprise,East,08/07/2025,Active,contact00019@exampletelco.co.uk,07799687199
ACC00020,Horizon Energy 0020,Wholesale,Scotland,27/11/2023,Active,contact00020@exampletelco.co.uk,07389471563
ACC00021,Oak Media 0021,Retail,Midlands,09/08/2024,Active,contact00021@exampletelco.co.uk,07708969624
