asset_id,account_id,asset_type,installation_date,asset_status,location,maintenance_cost,service_number
AST00001,ACC00768,FTTP Broadband,30/12/2025,Ceased,Edinburgh,6.28,FTTP3883350238
AST00002,ACC00538,MPLS Circuit,12/09/2024,Active,Leeds,43.22,MPLS5714820641
AST00003,ACC00229,MPLS Circuit,27/03/2023,Active,Liverpool,28.81,MPLS3325702859
AST00004,ACC00918,FTTP Broadband,25/12/2025,Active,Leeds,9.95,FTTP6364301670
AST00005,ACC00182,FTTC Broadband,27/02/2025,Active,Edinburgh,8.19,FTTC4373094375
AST00006,ACC00671,MPLS Circuit,20/01/2023,Active,Manchester,39.79,MPLS8707284662
AST00007,ACC00536,Mobile Voice,09/01/2025,Active,Reading,7.95,MOB3035930393
AST00008,ACC00047,Mobile Voice,23/02/2025,Active,Leeds,3.41,MOB1305024347
AST00009,ACC00565,Cloud Voice,08/12/2025,Active,Glasgow,2.47,CV6143061993
AST00010,ACC00736,Ethernet Circuit,15/09/2024,Inactive,London,50.23,ETH3291008694
AST00011,ACC00661,Cloud Voice,20/04/2023,Active,Glasgow,2.15,CV5136123193
AST00012,ACC00221,SIP Trunk,26/07/2024,Active,Birmingham,2.8,SIP3847061574
AST00013,ACC00867,FTTP Broadband,07/10/2025,Ceased,Bristol,14.93,FTTP3549044698
AST00014,ACC00134,SIP Trunk,07/04/2025,Active,Edinburgh,3.53,SIP6070187176
AST00015,ACC00944,Cloud Voice,27/09/2023,Active,Birmingham,0.94,CV8068485494
AST00016,ACC00324,SIP Trunk,19/10/2024,Inactive,Glasgow,3.74,SIP2028671849
AST00017,ACC00637,Ethernet Circuit,04/11/2024,Active,Leeds,35.56,ETH3024300635
AST00018,ACC00662,FTTC Broadband,08/12/2024,Active,Cardiff,11.99,FTTC8118651052
AST00019,ACC00676,PSTN Line,18/12/2024,Active,Edinburgh,6.07,PSTN5063066359
AST00020,ACC00824,Broadband,20/08/2024,Inactive,Bristol,2.05,BB4460227469
