order_id,account_id,asset_id,order_date,order_type,quantity,unit_price,order_status,total_price
ORD00001,ACC00768,AST00001,30/07/2023,New Installation,5,67.5,Completed,337.5
ORD00002,ACC00538,AST00002,12/06/2023,Modify,10,198.0,In Progress,1980.0
ORD00003,ACC00229,AST00003,26/10/2025,Modify,5,162.0,Completed,810.0
ORD00004,ACC00918,AST00004,23/08/2024,Upgrade,1,40.5,Open,40.5
ORD00005,ACC00182,AST00005,25/02/2023,Upgrade,5,47.5,Completed,237.5
ORD00006,ACC00671,AST00006,23/07/2023,Upgrade,3,162.0,In Progress,486.0
ORD00007,ACC00536,AST00007,24/04/2025,Modify,5,26.4,Completed,132.0
ORD00008,ACC00047,AST00008,01/12/2024,New Installation,1,36.0,Open,36.0
ORD00009,ACC00565,AST00009,17/01/2023,Transfer,10,10.45,Completed,104.5
ORD00010,ACC00736,AST00010,05/05/2023,Cease,1,275.0,Completed,275.0
ORD00011,ACC00661,AST00011,03/03/2024,Modify,10,10.45,In Progress,104.5
ORD00012,ACC00221,AST00012,05/11/2024,Upgrade,1,12.6,Completed,12.6
ORD00013,ACC00867,AST00013,10/04/2023,Upgrade,3,49.5,Completed,148.5
ORD00014,ACC00134,AST00014,03/11/2025,Modify,1,15.4,Completed,15.4
ORD00015,ACC00944,AST00015,29/06/2025,Modify,5,11.88,Completed,59.4
ORD00016,ACC00324,AST00016,22/02/2024,New Installation,1,21.0,Completed,21.0
ORD00017,ACC00637,AST00017,03/03/2026,Transfer,1,275.0,Completed,275.0
ORD00018,ACC00662,AST00018,16/12/2025,Transfer,1,38.0,Completed,38.0
ORD00019,ACC00676,AST00019,28/10/2024,Transfer,10,27.75,Completed,277.5
ORD00020,ACC00824,AST00020,05/03/2025,New Installation,1,32.0,Open,32.0
ORD00021,ACC00375,AST00021,02/08/2023,New Installation,1,330.0,In Progress,330.0
ORD00022,ACC00600,AST00022,22/12/2024,Upgrade,3,187.5,Completed,562.5
ORD00023,ACC00800,AST00023,13/05/2023,Cease,1,198.0,Completed,198.0
ORD00024,ACC00022,AST00024,15/05/2023,Modify,1,16.65,In Progress,16.65
